Run_Start	Date	Contracts	Cumulative_PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2021-07-14	2021-08-20	1	-27.5	403.5	542.0	-958.0
2021-07-14	2021-08-23	1	91.0	494.5	542.0	-958.0
2021-07-14	2021-08-24	1	45.5	540.0	574.5	-925.5
2021-07-14	2021-08-25	1	18.5	558.5	574.5	-925.5
2021-07-14	2021-08-26	1	-137.5	421.0	574.5	-925.5
2021-07-14	2021-08-27	1	-55.0	366.0	574.5	-925.5
2021-07-14	2021-08-30	1	264.5	630.5	630.5	-869.5
2021-07-14	2021-08-31	1	-94.0	536.5	639.0	-861.0
2021-07-14	2021-09-01	1	42.5	579.0	681.5	-818.5
2021-07-14	2021-09-02	1	52.5	631.5	681.5	-818.5
2021-07-14	2021-09-03	1	64.0	695.5	695.5	-804.5
2021-07-14	2021-09-06	1	23.0	718.5	718.5	-781.5
2021-07-14	2021-09-07	1	16.0	734.5	762.5	-737.5
2021-07-14	2021-09-08	1	53.0	787.5	787.5	-712.5
2021-07-14	2021-09-09	1	-100.5	687.0	789.0	-711.0
2021-07-14	2021-09-10	1	-45.5	641.5	789.0	-711.0
2021-07-14	2021-09-13	1	145.5	787.0	812.0	-688.0
2021-07-14	2021-09-14	1	-108.5	678.5	812.0	-688.0
2021-07-14	2021-09-15	1	120.5	799.0	812.0	-688.0
2021-07-14	2021-09-16	1	-44.0	755.0	812.0	-688.0
2021-07-14	2021-09-17	1	-140.0	615.0	812.0	-688.0
2021-07-14	2021-09-20	1	56.0	671.0	812.0	-688.0
2021-07-14	2021-09-21	1	3.0	674.0	908.5	-591.5
2021-07-14	2021-09-22	1	137.5	811.5	922.5	-577.5
2021-07-14	2021-09-23	1	116.0	927.5	959.5	-540.5
2021-07-14	2021-09-24	1	12.5	940.0	959.5	-540.5
2021-07-14	2021-09-27	1	34.5	974.5	1071.0	-429.0
2021-07-14	2021-09-28	1	-316.5	658.0	1071.0	-429.0
2021-07-14	2021-09-29	1	141.0	799.0	1071.0	-429.0
2021-07-14	2021-09-30	1	-283.0	516.0	1071.0	-429.0
2021-07-14	2021-10-01	1	303.0	819.0	1071.0	-429.0
2021-07-14	2021-10-04	1	-35.5	783.5	1071.0	-429.0
2021-07-14	2021-10-05	1	160.5	944.0	1071.0	-429.0
2021-07-14	2021-10-06	1	82.5	1026.5	1071.0	-429.0
2021-07-14	2021-10-07	1	175.0	1201.5	1334.5	-165.5
2021-07-14	2021-10-08	1	-124.0	1077.5	1334.5	-165.5
2021-07-14	2021-10-11	1	116.5	1194.0	1334.5	-165.5
2021-07-14	2021-10-12	1	-73.5	1120.5	1334.5	-165.5
2021-07-14	2021-10-13	1	167.0	1287.5	1334.5	-165.5
2021-07-14	2021-10-14	1	159.5	1447.0	1494.5	-5.5
2021-07-14	2021-10-15	1	53.0	1500.0	1494.5	-5.5
2021-07-15	2021-07-15	1	-0.5	-0.5	39.0	-1461.0
2021-07-15	2021-07-16	1	-71.5	-72.0	57.0	-1443.0
2021-07-15	2021-07-19	1	-216.0	-288.0	57.0	-1443.0
2021-07-15	2021-07-20	1	-132.0	-420.0	57.0	-1443.0
2021-07-15	2021-07-21	1	194.0	-226.0	57.0	-1443.0
2021-07-15	2021-07-22	1	88.5	-137.5	57.0	-1443.0
2021-07-15	2021-07-23	1	71.0	-66.5	57.0	-1443.0
2021-07-15	2021-07-26	1	3.0	-63.5	57.0	-1443.0
2021-07-15	2021-07-27	1	89.5	26.0	57.0	-1443.0
2021-07-15	2021-07-28	1	82.0	108.0	176.5	-1323.5
2021-07-15	2021-07-29	1	63.5	171.5	228.0	-1272.0
2021-07-15	2021-07-30	1	227.5	399.0	399.0	-1101.0
2021-07-15	2021-08-02	1	-85.5	313.5	460.5	-1039.5
2021-07-15	2021-08-03	1	163.0	476.5	476.5	-1023.5
2021-07-15	2021-08-04	1	1.5	478.0	478.0	-1022.0
2021-07-15	2021-08-05	1	21.0	499.0	531.0	-969.0
2021-07-15	2021-08-06	1	-97.0	402.0	531.0	-969.0
2021-07-15	2021-08-09	1	154.5	556.5	556.5	-943.5
2021-07-15	2021-08-10	1	-55.0	501.5	556.5	-943.5
2021-07-15	2021-08-11	1	167.5	669.0	669.0	-831.0
2021-07-15	2021-08-12	1	-58.0	611.0	677.5	-822.5
2021-07-15	2021-08-13	1	-32.0	579.0	677.5	-822.5
2021-07-15	2021-08-16	1	8.0	587.0	677.5	-822.5
2021-07-15	2021-08-17	1	7.5	594.5	677.5	-822.5
