Date	Quantity of positions	Volume	P.L	Average P.L	Comission	Gross	Net	Open	Hi	Low	Close
28.05.2021	5	5.00	-13.00	-2.60	0.00	10 261.50	10 261.50	10 274.50	10 337.50	10 261.50	10 261.50
31.05.2021	4	4.00	-68.50	-17.13	0.00	10 193.00	10 193.00	10 261.50	10 261.50	10 193.00	10 193.00
01.06.2021	5	5.00	35.50	7.10	0.00	10 228.50	10 228.50	10 193.00	10 308.50	10 193.00	10 228.50
02.06.2021	6	6.00	58.50	9.75	0.00	10 287.00	10 287.00	10 228.50	10 287.00	10 213.50	10 287.00
03.06.2021	7	7.00	-228.50	-32.64	0.00	10 058.50	10 058.50	10 287.00	10 324.00	10 058.50	10 058.50
04.06.2021	5	5.00	18.50	3.70	0.00	10 077.00	10 077.00	10 058.50	10 130.50	10 035.00	10 077.00
07.06.2021	9	9.00	-71.00	-7.89	0.00	10 006.00	10 006.00	10 077.00	10 077.00	9 911.00	10 006.00
08.06.2021	8	8.00	38.50	4.81	0.00	10 044.50	10 044.50	10 006.00	10 089.00	10 004.50	10 044.50
09.06.2021	6	6.00	-16.50	-2.75	0.00	10 028.00	10 028.00	10 044.50	10 100.50	10 002.00	10 028.00
10.06.2021	6	6.00	-80.50	-13.42	0.00	9 947.50	9 947.50	10 028.00	10 049.00	9 900.00	9 947.50
11.06.2021	8	8.00	77.00	9.63	0.00	10 024.50	10 024.50	9 947.50	10 024.50	9 931.00	10 024.50
14.06.2021	5	5.00	191.00	38.20	0.00	10 215.50	10 215.50	10 024.50	10 215.50	9 984.00	10 215.50
15.06.2021	8	8.00	-142.00	-17.75	0.00	10 073.50	10 073.50	10 215.50	10 279.50	10 073.50	10 073.50
16.06.2021	6	6.00	-101.50	-16.92	0.00	9 972.00	9 972.00	10 073.50	10 073.50	9 889.00	9 972.00
17.06.2021	2	2.00	281.00	140.50	0.00	10 253.00	10 253.00	9 972.00	10 253.00	9 972.00	10 253.00
18.06.2021	3	3.00	-203.00	-67.67	0.00	10 050.00	10 050.00	10 253.00	10 253.00	10 050.00	10 050.00
21.06.2021	5	5.00	149.00	29.80	0.00	10 199.00	10 199.00	10 050.00	10 199.00	10 011.50	10 199.00
22.06.2021	6	6.00	68.50	11.42	0.00	10 267.50	10 267.50	10 199.00	10 267.50	10 159.50	10 267.50
23.06.2021	10	10.00	-93.50	-9.35	0.00	10 174.00	10 174.00	10 267.50	10 290.50	10 174.00	10 174.00
24.06.2021	9	9.00	41.50	4.61	0.00	10 215.50	10 215.50	10 174.00	10 282.00	10 174.00	10 215.50
25.06.2021	7	7.00	0.00	0.00	0.00	10 215.50	10 215.50	10 215.50	10 241.50	10 171.00	10 215.50
28.06.2021	5	5.00	163.50	32.70	0.00	10 379.00	10 379.00	10 215.50	10 379.00	10 210.50	10 379.00
